study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	read_count	fastq_ftp	submitted_ftp	sra_ftp
PRJEB28097	SAMEA4844395	ERX2762169	ERR2749115	256318	metagenome	10792880	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/005/ERR2749115/ERR2749115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/005/ERR2749115/ERR2749115_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749115/160517_NS500640_0086_AH2WNCBGXY_E3_S21_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749115/160517_NS500640_0086_AH2WNCBGXY_E3_S21_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/005/ERR2749115
PRJEB28097	SAMEA4844396	ERX2762170	ERR2749116	256318	metagenome	11662037	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/006/ERR2749116/ERR2749116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/006/ERR2749116/ERR2749116_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749116/150831_NS500640_0044_AH7JYWBGXX_B5_S34_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749116/150831_NS500640_0044_AH7JYWBGXX_B5_S34_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/006/ERR2749116
PRJEB28097	SAMEA4844397	ERX2762171	ERR2749117	256318	metagenome	17508505	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/007/ERR2749117/ERR2749117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/007/ERR2749117/ERR2749117_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749117/150831_NS500640_0044_AH7JYWBGXX_C5_S35_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749117/150831_NS500640_0044_AH7JYWBGXX_C5_S35_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/007/ERR2749117
PRJEB28097	SAMEA4844398	ERX2762172	ERR2749118	256318	metagenome	19074062	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/008/ERR2749118/ERR2749118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/008/ERR2749118/ERR2749118_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749118/150831_NS500640_0044_AH7JYWBGXX_D5_S36_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749118/150831_NS500640_0044_AH7JYWBGXX_D5_S36_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/008/ERR2749118
PRJEB28097	SAMEA4844399	ERX2762173	ERR2749119	256318	metagenome	31515031	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/009/ERR2749119/ERR2749119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/009/ERR2749119/ERR2749119_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749119/150831_NS500640_0044_AH7JYWBGXX_E5_S37_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749119/150831_NS500640_0044_AH7JYWBGXX_E5_S37_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/009/ERR2749119
PRJEB28097	SAMEA4844400	ERX2762174	ERR2749120	256318	metagenome	20610281	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/000/ERR2749120/ERR2749120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/000/ERR2749120/ERR2749120_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749120/150831_NS500640_0044_AH7JYWBGXX_F5_S38_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749120/150831_NS500640_0044_AH7JYWBGXX_F5_S38_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/000/ERR2749120
PRJEB28097	SAMEA4844401	ERX2762175	ERR2749121	256318	metagenome	4932724	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/001/ERR2749121/ERR2749121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/001/ERR2749121/ERR2749121_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749121/160517_NS500640_0086_AH2WNCBGXY_A4_S25_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749121/160517_NS500640_0086_AH2WNCBGXY_A4_S25_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/001/ERR2749121
PRJEB28097	SAMEA4844402	ERX2762176	ERR2749122	256318	metagenome	2745630	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/002/ERR2749122/ERR2749122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/002/ERR2749122/ERR2749122_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749122/160517_NS500640_0086_AH2WNCBGXY_B4_S26_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749122/160517_NS500640_0086_AH2WNCBGXY_B4_S26_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/002/ERR2749122
PRJEB28097	SAMEA4844403	ERX2762177	ERR2749123	256318	metagenome	10537305	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/003/ERR2749123/ERR2749123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/003/ERR2749123/ERR2749123_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749123/160517_NS500640_0086_AH2WNCBGXY_C4_S27_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749123/160517_NS500640_0086_AH2WNCBGXY_C4_S27_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/003/ERR2749123
PRJEB28097	SAMEA4844404	ERX2762178	ERR2749124	256318	metagenome	6905561	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/004/ERR2749124/ERR2749124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/004/ERR2749124/ERR2749124_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749124/170523_NS500640_0168_AHFCVTBGX2_A2_S9_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749124/170523_NS500640_0168_AHFCVTBGX2_A2_S9_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/004/ERR2749124
PRJEB28097	SAMEA4844405	ERX2762179	ERR2749125	256318	metagenome	6031948	ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/005/ERR2749125/ERR2749125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/005/ERR2749125/ERR2749125_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749125/170523_NS500640_0168_AHFCVTBGX2_B2_S10_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR274/ERR2749125/170523_NS500640_0168_AHFCVTBGX2_B2_S10_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR274/005/ERR2749125
