Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Source_material_ID,SRA Study
SRR9224004,WGS,193,1257223001,PRJNA544527,SAMN11950311,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",803605962,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-07-31,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994839,USA,North America,USA:Boston,Homo sapiens,an,Illumina HiSeq 2500,42.36 N 71.06 W,an-0040_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,an-0040_MG,an-0040_MG,SRP200548
SRR9224005,WGS,190,813257529,PRJNA544527,SAMN11950312,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",522650188,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-08-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994838,USA,North America,USA:Boston,Homo sapiens,an,Illumina HiSeq 2500,42.36 N 71.06 W,an-0041_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,an-0041_MG,an-0041_MG,SRP200548
SRR9224006,WGS,191,1160926705,PRJNA544527,SAMN11950313,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",745374248,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-08-11,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994837,USA,North America,USA:Boston,Homo sapiens,an,Illumina HiSeq 2500,42.36 N 71.06 W,an-0042_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,an-0042_MG,an-0042_MG,SRP200548
SRR9224007,WGS,190,5104549357,PRJNA544527,SAMN11950488,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3464038143,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-10-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994836,USA,North America,USA:Boston,Homo sapiens,ca,Illumina HiSeq 2500,42.36 N 71.06 W,ca-0001_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ca-0001_MG,ca-0001_MG,SRP200548
SRR9224008,WGS,189,5418886788,PRJNA544527,SAMN11950489,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3756669805,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-11-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994835,USA,North America,USA:Boston,Homo sapiens,ca,Illumina HiSeq 2500,42.36 N 71.06 W,ca-0012_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,ca-0012_MG,ca-0012_MG,SRP200548
SRR9224009,WGS,193,1558032537,PRJNA544527,SAMN11950484,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1067245506,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-09-30,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994834,USA,North America,USA:Boston,Homo sapiens,by,Illumina HiSeq 2500,42.36 N 71.06 W,by-0002_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,by-0002_MG,by-0002_MG,SRP200548
SRR9224010,WGS,190,3255068815,PRJNA544527,SAMN11950485,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2211476783,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-02-24,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994833,USA,North America,USA:Boston,Homo sapiens,by,Illumina HiSeq 2500,42.36 N 71.06 W,by-0059_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,by-0059_MG,by-0059_MG,SRP200548
SRR9224011,WGS,191,4501359474,PRJNA544527,SAMN11950486,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3061638165,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-09-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994832,USA,North America,USA:Boston,Homo sapiens,bz,Illumina HiSeq 2500,42.36 N 71.06 W,bz-0001_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,bz-0001_MG,bz-0001_MG,SRP200548
SRR9224012,WGS,192,4904603078,PRJNA544527,SAMN11950487,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3302163985,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-05-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994831,USA,North America,USA:Boston,Homo sapiens,bz,Illumina HiSeq 2500,42.36 N 71.06 W,bz-0033_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,bz-0033_MG,bz-0033_MG,SRP200548
SRR9224013,WGS,191,3107730719,PRJNA544527,SAMN11950480,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2162571998,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-09-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5994830,USA,North America,USA:Boston,Homo sapiens,bw,Illumina HiSeq 2500,42.36 N 71.06 W,bw-0001_MG,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2019-07-31T00:00:00Z,bw-0001_MG,bw-0001_MG,SRP200548
